Size;Test_Number;BFS;DFS;BestFS
Size 5;Test_Number 68;BFS 36;DFS 34;BestFS 59
Size 5;Test_Number 69;BFS 37;DFS 34;BestFS 60
Size 5;Test_Number 70;BFS 36;DFS 32;BestFS 60
Size 5;Test_Number 71;BFS 37;DFS 33;BestFS 62
Size 5;Test_Number 72;BFS 37;DFS 33;BestFS 60
Size 5;Test_Number 73;BFS 37;DFS 33;BestFS 59
Size 5;Test_Number 74;BFS 36;DFS 33;BestFS 60
Size 5;Test_Number 75;BFS 37;DFS 33;BestFS 63
Size 5;Test_Number 76;BFS 38;DFS 35;BestFS 62
Size 5;Test_Number 77;BFS 36;DFS 33;BestFS 60
Size 5;Test_Number 78;BFS 35;DFS 32;BestFS 61
Size 5;Test_Number 79;BFS 37;DFS 33;BestFS 62
Size 5;Test_Number 80;BFS 37;DFS 33;BestFS 61
Size 5;Test_Number 81;BFS 38;DFS 33;BestFS 60
Size 5;Test_Number 82;BFS 37;DFS 33;BestFS 59
Size 5;Test_Number 83;BFS 37;DFS 35;BestFS 61
Size 5;Test_Number 84;BFS 36;DFS 33;BestFS 61
Size 5;Test_Number 85;BFS 37;DFS 32;BestFS 59
Size 5;Test_Number 86;BFS 36;DFS 33;BestFS 58
Size 5;Test_Number 87;BFS 36;DFS 33;BestFS 59
Size 5;Test_Number 88;BFS 36;DFS 33;BestFS 59
Size 5;Test_Number 89;BFS 36;DFS 33;BestFS 59
Size 5;Test_Number 90;BFS 36;DFS 33;BestFS 64
Size 5;Test_Number 91;BFS 37;DFS 41;BestFS 62
Size 5;Test_Number 92;BFS 37;DFS 33;BestFS 60
Size 5;Test_Number 93;BFS 36;DFS 32;BestFS 60
Size 5;Test_Number 94;BFS 36;DFS 32;BestFS 59
Size 5;Test_Number 95;BFS 37;DFS 33;BestFS 61
Size 5;Test_Number 96;BFS 37;DFS 34;BestFS 60
Size 5;Test_Number 97;BFS 37;DFS 34;BestFS 171
Size 5;Test_Number 98;BFS 37;DFS 33;BestFS 59
Size 5;Test_Number 99;BFS 37;DFS 33;BestFS 59
Size 5;Test_Number 100;BFS 37;DFS 163;BestFS 60
Size 6;Test_Number 1;BFS 209;DFS 181;BestFS 377
Size 6;Test_Number 2;BFS 190;DFS 179;BestFS 371
Size 6;Test_Number 3;BFS 221;DFS 179;BestFS 375
Size 6;Test_Number 4;BFS 186;DFS 174;BestFS 388
Size 6;Test_Number 5;BFS 189;DFS 177;BestFS 387
Size 6;Test_Number 6;BFS 192;DFS 174;BestFS 374
Size 6;Test_Number 7;BFS 189;DFS 173;BestFS 372
Size 6;Test_Number 8;BFS 182;DFS 171;BestFS 361
Size 6;Test_Number 9;BFS 182;DFS 172;BestFS 382
Size 6;Test_Number 10;BFS 184;DFS 172;BestFS 363
Size 6;Test_Number 11;BFS 185;DFS 171;BestFS 366
Size 6;Test_Number 12;BFS 191;DFS 174;BestFS 365
Size 6;Test_Number 13;BFS 183;DFS 172;BestFS 375
Size 6;Test_Number 14;BFS 183;DFS 171;BestFS 372
Size 6;Test_Number 15;BFS 192;DFS 174;BestFS 368
Size 6;Test_Number 16;BFS 186;DFS 172;BestFS 370
Size 6;Test_Number 17;BFS 195;DFS 176;BestFS 377
Size 6;Test_Number 18;BFS 185;DFS 173;BestFS 369
Size 6;Test_Number 19;BFS 195;DFS 172;BestFS 365
Size 6;Test_Number 20;BFS 181;DFS 170;BestFS 359
Size 6;Test_Number 21;BFS 185;DFS 174;BestFS 366
Size 6;Test_Number 22;BFS 188;DFS 251;BestFS 373
Size 6;Test_Number 23;BFS 202;DFS 175;BestFS 378
Size 6;Test_Number 24;BFS 190;DFS 205;BestFS 379
Size 6;Test_Number 25;BFS 192;DFS 172;BestFS 376
Size 6;Test_Number 26;BFS 190;DFS 172;BestFS 372
Size 6;Test_Number 27;BFS 184;DFS 172;BestFS 366
Size 6;Test_Number 28;BFS 197;DFS 172;BestFS 360
Size 6;Test_Number 29;BFS 185;DFS 171;BestFS 366
Size 6;Test_Number 30;BFS 202;DFS 178;BestFS 385
Size 6;Test_Number 31;BFS 188;DFS 173;BestFS 355
Size 6;Test_Number 32;BFS 182;DFS 170;BestFS 387
Size 6;Test_Number 33;BFS 186;DFS 201;BestFS 366
Size 6;Test_Number 34;BFS 191;DFS 169;BestFS 362
Size 6;Test_Number 35;BFS 190;DFS 182;BestFS 370
Size 6;Test_Number 36;BFS 182;DFS 172;BestFS 373
Size 6;Test_Number 37;BFS 184;DFS 172;BestFS 366
Size 6;Test_Number 38;BFS 192;DFS 176;BestFS 361
Size 6;Test_Number 39;BFS 185;DFS 172;BestFS 368
Size 6;Test_Number 40;BFS 185;DFS 172;BestFS 370
Size 6;Test_Number 41;BFS 183;DFS 173;BestFS 367
Size 6;Test_Number 42;BFS 188;DFS 171;BestFS 362
Size 6;Test_Number 43;BFS 184;DFS 187;BestFS 418
Size 6;Test_Number 44;BFS 245;DFS 190;BestFS 411
Size 6;Test_Number 45;BFS 221;DFS 218;BestFS 422
Size 6;Test_Number 46;BFS 226;DFS 200;BestFS 382
Size 6;Test_Number 47;BFS 188;DFS 172;BestFS 368
Size 6;Test_Number 48;BFS 191;DFS 170;BestFS 368
Size 6;Test_Number 49;BFS 189;DFS 175;BestFS 395
Size 6;Test_Number 50;BFS 190;DFS 175;BestFS 383
Size 6;Test_Number 51;BFS 196;DFS 182;BestFS 383
Size 6;Test_Number 52;BFS 191;DFS 178;BestFS 409
Size 6;Test_Number 53;BFS 196;DFS 184;BestFS 391
Size 6;Test_Number 54;BFS 207;DFS 183;BestFS 374
Size 6;Test_Number 55;BFS 184;DFS 175;BestFS 377
Size 6;Test_Number 56;BFS 206;DFS 176;BestFS 383
Size 6;Test_Number 57;BFS 188;DFS 181;BestFS 383
Size 6;Test_Number 58;BFS 192;DFS 179;BestFS 388
Size 6;Test_Number 59;BFS 196;DFS 184;BestFS 397
Size 6;Test_Number 60;BFS 192;DFS 180;BestFS 379
Size 6;Test_Number 61;BFS 198;DFS 180;BestFS 381
Size 6;Test_Number 62;BFS 207;DFS 181;BestFS 386
Size 6;Test_Number 63;BFS 190;DFS 179;BestFS 427
Size 6;Test_Number 64;BFS 192;DFS 177;BestFS 379
Size 6;Test_Number 65;BFS 188;DFS 176;BestFS 379
Size 6;Test_Number 66;BFS 192;DFS 174;BestFS 373
Size 6;Test_Number 67;BFS 187;DFS 183;BestFS 376
Size 6;Test_Number 68;BFS 187;DFS 180;BestFS 400
Size 6;Test_Number 69;BFS 198;DFS 196;BestFS 397
Size 6;Test_Number 70;BFS 208;DFS 192;BestFS 421
Size 6;Test_Number 71;BFS 203;DFS 183;BestFS 395
Size 6;Test_Number 72;BFS 194;DFS 180;BestFS 379
Size 6;Test_Number 73;BFS 214;DFS 182;BestFS 393
Size 6;Test_Number 74;BFS 192;DFS 178;BestFS 382
Size 6;Test_Number 75;BFS 198;DFS 179;BestFS 380
Size 6;Test_Number 76;BFS 195;DFS 185;BestFS 386
Size 6;Test_Number 77;BFS 198;DFS 182;BestFS 393
Size 6;Test_Number 78;BFS 218;DFS 182;BestFS 385
Size 6;Test_Number 79;BFS 197;DFS 181;BestFS 380
Size 6;Test_Number 80;BFS 199;DFS 179;BestFS 385
Size 6;Test_Number 81;BFS 191;DFS 194;BestFS 384
Size 6;Test_Number 82;BFS 202;DFS 179;BestFS 385
Size 6;Test_Number 83;BFS 194;DFS 202;BestFS 385
Size 6;Test_Number 84;BFS 195;DFS 179;BestFS 389
Size 6;Test_Number 85;BFS 193;DFS 179;BestFS 380
Size 6;Test_Number 86;BFS 190;DFS 174;BestFS 395
Size 6;Test_Number 87;BFS 188;DFS 175;BestFS 400
Size 6;Test_Number 88;BFS 217;DFS 181;BestFS 372
Size 6;Test_Number 89;BFS 203;DFS 177;BestFS 381
Size 6;Test_Number 90;BFS 195;DFS 191;BestFS 459
Size 6;Test_Number 91;BFS 214;DFS 197;BestFS 436
Size 6;Test_Number 92;BFS 197;DFS 182;BestFS 406
Size 6;Test_Number 93;BFS 199;DFS 186;BestFS 394
Size 6;Test_Number 94;BFS 213;DFS 178;BestFS 424
Size 6;Test_Number 95;BFS 194;DFS 179;BestFS 390
Size 6;Test_Number 96;BFS 218;DFS 181;BestFS 387
Size 6;Test_Number 97;BFS 199;DFS 178;BestFS 383
Size 6;Test_Number 98;BFS 191;DFS 178;BestFS 385
Size 6;Test_Number 99;BFS 193;DFS 182;BestFS 395
Size 6;Test_Number 100;BFS 192;DFS 189;BestFS 385
Size 7;Test_Number 1;BFS 1287;DFS 1212;BestFS 2991
Size 7;Test_Number 2;BFS 1273;DFS 1145;BestFS 2891
Size 7;Test_Number 3;BFS 1213;DFS 1117;BestFS 3198
Size 7;Test_Number 4;BFS 1453;DFS 1110;BestFS 2920
Size 7;Test_Number 5;BFS 1182;DFS 1161;BestFS 3033
Size 7;Test_Number 6;BFS 1186;DFS 1093;BestFS 2965
Size 7;Test_Number 7;BFS 1330;DFS 1221;BestFS 3025
Size 7;Test_Number 8;BFS 1231;DFS 1118;BestFS 2939
Size 7;Test_Number 9;BFS 1215;DFS 1102;BestFS 3145
Size 7;Test_Number 10;BFS 1181;DFS 1230;BestFS 2871
Size 7;Test_Number 11;BFS 1258;DFS 1131;BestFS 3101
Size 7;Test_Number 12;BFS 1323;DFS 1146;BestFS 2943
Size 7;Test_Number 13;BFS 1100;DFS 1118;BestFS 3008
Size 7;Test_Number 14;BFS 1128;DFS 1140;BestFS 3209
Size 7;Test_Number 15;BFS 1163;DFS 1113;BestFS 3217
Size 7;Test_Number 16;BFS 1152;DFS 1070;BestFS 2905
Size 7;Test_Number 17;BFS 1135;DFS 1076;BestFS 2775
Size 7;Test_Number 18;BFS 1121;DFS 1158;BestFS 3114
Size 7;Test_Number 19;BFS 1212;DFS 1144;BestFS 2873
Size 7;Test_Number 20;BFS 1184;DFS 1266;BestFS 3024
Size 7;Test_Number 21;BFS 1276;DFS 1254;BestFS 2896
Size 7;Test_Number 22;BFS 1146;DFS 1172;BestFS 3075
